Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,HDD,SSD,Gpu_brand,PRICE
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.7,0,1,Intel Core i5,0,256,Intel,78534.72
Mediacom,Notebook,14.0,1920x1080,4,Windows,1.4,0,0,Other Intel Processor,0,32,Intel,13266.72
HP,2 in 1 Convertible,11.6,1366x768,8,Others/No OS/Linux,1.4,1,0,Other Intel Processor,0,0,Intel,26373.6
Asus,Notebook,15.6,1920x1080,8,Others/No OS/Linux,2.3,0,0,Intel Core i3,1000,0,Nvidia,31808.16
Asus,2 in 1 Convertible,12.5,1920x1080,8,Others/No OS/Linux,1.2,0,0,Other Intel Processor,0,0,Intel,61751.52
Dell,Notebook,15.6,1366x768,4,Others/No OS/Linux,2.2,0,0,Other Intel Processor,500,0,Intel,17262.72
Dell,Notebook,13.3,1366x768,4,Windows,1.65,0,0,Intel Core i3,500,0,Intel,45234.72
Asus,2 in 1 Convertible,15.6,1366x768,8,Windows,2.2,1,0,Intel Core i5,1000,0,Intel,39373.92
Asus,Notebook,15.6,1920x1080,8,Windows,2.0,0,0,Intel Core i5,0,256,Nvidia,40972.32
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.7,0,0,Intel Core i5,0,180,Intel,72673.92
HP,Ultrabook,15.6,1920x1080,8,Windows,1.84,0,0,Intel Core i7,0,512,Intel,74005.92
Acer,Notebook,15.6,1366x768,4,Others/No OS/Linux,2.4,0,0,Other Intel Processor,500,0,Intel,15397.92
Dell,Notebook,14.0,1920x1080,8,Windows,1.64,0,0,Intel Core i5,0,256,Intel,68184.0144
HP,Notebook,15.6,1366x768,4,Windows,1.86,0,0,Intel Core i3,500,0,AMD,23373.4032
Lenovo,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.9,0,0,Intel Core i3,1000,0,AMD,19607.04
HP,Notebook,14.0,1366x768,4,Windows,1.44,0,0,Other Intel Processor,0,32,Intel,12201.12
Dell,Notebook,15.6,1920x1080,8,Windows,2.18,0,0,Intel Core i5,0,256,Intel,39960.0
Asus,Gaming,17.3,1920x1080,16,Windows,2.9,0,0,Intel Core i7,1000,256,Nvidia,74964.95999999999
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,0,256,AMD,130001.6016
Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.37,1,1,Intel Core i7,0,512,Intel,107892.0
Lenovo,2 in 1 Convertible,13.3,3200x1800,8,Windows,1.3,1,1,Intel Core i5,0,256,Intel,63882.72
Asus,Ultrabook,15.6,1920x1080,16,Windows,1.63,0,0,Intel Core i7,0,512,Nvidia,78215.04
Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.3,1,1,Intel Core i5,0,256,Intel,55091.52
